复评编号,文件路径,标题,内容身份,核心内容,独特观点,独特案例或反例,思想演变或适用边界价值,原D级理由,原D级理由是否成立,复评分级,对应主书章节,具体位置,是否进入侧栏,是否进入附录,是否进入索引,是否进入完整典藏层,仍保持D级的明确理由,复评备注
DR-058,content/models/pluralistic-ignorance.md,多数无知与从众谬误,通用模型与编辑扩展,每个人私下都不相信某件事，但以为其他人相信，于是都假装相信——群体的公开行为可以与每个个体的真实想法完全相反。皇帝新衣效应无处不在。,相对芒格原始演讲，该稿新增了“多数无知与从众谬误”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,从众谬误：因为很多人相信所以一定是对的；2008年：一场全球规模的皇帝新衣；如何对抗多数无知与从众谬误,可作为芒格体系的兼容扩展或反例材料；首次出现必须标注通用模型/编辑扩展身份。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,不再成立为排除理由：直接归因限制仍成立，但材料具有明确侧栏或案例增量。,B,munger-ch-09,章节侧栏/补充解释“多数无知与从众谬误”（munger-ch-09）；首次标注“通用模型或编辑扩展”,是,否,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-059,content/models/precedent.md,先例原则,通用模型与编辑扩展,先例原则要求法官遵循此前已确立的判决，以确保法律的可预测性和一致性。这一原则在商业和投资决策中同样提供了稳定性与路径依赖的双刃剑效应。,相对芒格原始演讲，该稿新增了“先例原则”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,三百年前的法官替你做了决定；普通法：人类最伟大的智慧积累实验；商业中的“最佳实践”：先例思维的迁移,可作为芒格体系的兼容扩展或反例材料；首次出现必须标注通用模型/编辑扩展身份。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,部分成立：不承担主书核心证据，但其附录、索引或资料组织价值明确。,C,munger-ch-11,模型身份附录“法学与政治学”分组及概念索引“先例原则”；关联munger-ch-11,否,是,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-060,content/models/principle-of-least-energy.md,最小能量原理,通用模型与编辑扩展,最小能量原理揭示了自然界从光的路径到河流走向都倾向于选择消耗最少能量的路径，理解这一宇宙基本倾向有助于预测系统行为和设计高效策略。,相对芒格原始演讲，该稿新增了“最小能量原理”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,宇宙的“懒惰”；河流的智慧与密西西比河的教训；芒格的“容易的决策”,主要价值在于展示后人扩展的边界和类比风险；缺少芒格直接证据，不进入人物思想主叙事。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,成立：独立内容存在，但与芒格直接思想链较弱且类比风险较高，保留D级和典藏位置。,D,munger-ch-07,完整典藏层“通用模型候选/物理学与化学/最小能量原理”及来源/主题索引；不进入主书叙事,否,否,是,是,缺少芒格直接提出或反复使用证据，且从自然科学/历史现象向商业与人生外推的类比链较长；若进入正文容易造成错误归因或过度解释。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-061,content/models/punctuated-equilibrium.md,间断均衡,通用模型与编辑扩展,间断均衡颠覆了进化渐进主义的传统图景——化石记录显示物种在长期稳定后突然剧变，进化不是平滑斜坡而是被短暂跃升打断的长长阶梯。,相对芒格原始演讲，该稿新增了“间断均衡”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,进化不是斜坡，而是阶梯；寒武纪大爆发：生命史上最壮观的“间断”；科技行业：商业世界的间断均衡,可作为芒格体系的兼容扩展或反例材料；首次出现必须标注通用模型/编辑扩展身份。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,部分成立：不承担主书核心证据，但其附录、索引或资料组织价值明确。,C,munger-ch-11,模型身份附录“生物学与进化论”分组及概念索引“间断均衡”；关联munger-ch-11,否,是,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-062,content/models/red-queen-effect.md,红皇后效应,通用模型与编辑扩展,红皇后效应揭示了竞争环境中必须不断进化才能维持现有地位的残酷现实——物种存在时间越久并不意味着越安全，停止奔跑就是开始落后。,相对芒格原始演讲，该稿新增了“红皇后效应”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,拼命奔跑，只为留在原地；网络安全：一场永不停止的红皇后竞赛；零售业：创新即呼吸,可作为芒格体系的兼容扩展或反例材料；首次出现必须标注通用模型/编辑扩展身份。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,不再成立为排除理由：直接归因限制仍成立，但材料具有明确侧栏或案例增量。,B,munger-ch-11,章节侧栏/补充解释“红皇后效应”（munger-ch-11）；首次标注“通用模型或编辑扩展”,是,否,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-063,content/models/rent-seeking-legal-view.md,寻租行为法学视角,通用模型与编辑扩展,寻租行为是利用法律和制度漏洞获取不劳而获的利益，而非通过创造价值获利。芒格尖锐批判这种将聪明才智用在错误地方的社会现象。,相对芒格原始演讲，该稿新增了“寻租行为法学视角”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,聪明人去了错误的地方；法律寻租的三重形态；芒格为什么如此在意法律寻租,可作为芒格体系的兼容扩展或反例材料；首次出现必须标注通用模型/编辑扩展身份。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,部分成立：不承担主书核心证据，但其附录、索引或资料组织价值明确。,C,munger-ch-08,模型身份附录“法学与政治学”分组及概念索引“寻租行为法学视角”；关联munger-ch-08,否,是,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-064,content/models/resonance.md,共振,通用模型与编辑扩展,共振揭示了当外力频率与系统固有频率吻合时能量会被极度放大的物理机制——74名士兵齐步走就能摧毁一座铁桥，关键不在力量大小而在频率匹配。,相对芒格原始演讲，该稿新增了“共振”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,频率对了，世界就变了；塔科马海峡大桥：被风吹断的钢铁巨兽；芒格的Lollapalooza：多因素共振,主要价值在于展示后人扩展的边界和类比风险；缺少芒格直接证据，不进入人物思想主叙事。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,成立：独立内容存在，但与芒格直接思想链较弱且类比风险较高，保留D级和典藏位置。,D,munger-ch-07,完整典藏层“通用模型候选/物理学与化学/共振”及来源/主题索引；不进入主书叙事,否,否,是,是,缺少芒格直接提出或反复使用证据，且从自然科学/历史现象向商业与人生外推的类比链较长；若进入正文容易造成错误归因或过度解释。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-065,content/models/reversibility-irreversibility.md,可逆性与不可逆性,通用模型与编辑扩展,可逆与不可逆决策的区分是芒格投资哲学的基石——单向门决策必须深思熟虑，双向门决策应快速行动，你一生中真正关键的是没搞砸的不可逆决策。,相对芒格原始演讲，该稿新增了“可逆性与不可逆性”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,物理学告诉你的残酷真相；“不要亏钱”：芒格最深刻的不可逆洞见；声誉：一生修建，一秒摧毁,可作为芒格体系的兼容扩展或反例材料；首次出现必须标注通用模型/编辑扩展身份。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,不再成立为排除理由：直接归因限制仍成立，但材料具有明确侧栏或案例增量。,B,munger-ch-05,章节侧栏/补充解释“可逆性与不可逆性”（munger-ch-05）；首次标注“通用模型或编辑扩展”,是,否,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-066,content/models/rise-and-fall-of-empires.md,帝国兴衰周期,通用模型与编辑扩展,从罗马帝国到通用汽车，帝国的毁灭几乎从不来自外部，而是来自内部腐蚀。当繁荣让人们忘记繁荣是怎么来的，衰败就已经开始。,相对芒格原始演讲，该稿新增了“帝国兴衰周期”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,通用汽车：一个美国帝国的兴亡；通用电气：另一出帝国悲剧；芒格原话,主要价值在于展示后人扩展的边界和类比风险；缺少芒格直接证据，不进入人物思想主叙事。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,成立：独立内容存在，但与芒格直接思想链较弱且类比风险较高，保留D级和典藏位置。,D,munger-ch-08,完整典藏层“通用模型候选/历史学与哲学/帝国兴衰周期”及来源/主题索引；不进入主书叙事,否,否,是,是,缺少芒格直接提出或反复使用证据，且从自然科学/历史现象向商业与人生外推的类比链较长；若进入正文容易造成错误归因或过度解释。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-067,content/models/sample-size-statistical-significance.md,样本量与统计显著性,通用模型与编辑扩展,样本量是区分信号与噪声的分辨率，人类天生倾向于从小样本中过度推断规律，理解统计显著性能避免将运气误认为能力。,相对芒格原始演讲，该稿新增了“样本量与统计显著性”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,人类天生就是糟糕的统计学家；三年跑赢市场说明什么：几乎什么都不说明；新药为什么需要大样本：对你生命负责的统计学,可作为芒格体系的兼容扩展或反例材料；首次出现必须标注通用模型/编辑扩展身份。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,不再成立为排除理由：直接归因限制仍成立，但材料具有明确侧栏或案例增量。,B,munger-ch-04,章节侧栏/补充解释“样本量与统计显著性”（munger-ch-04）；首次标注“通用模型或编辑扩展”,是,否,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-068,content/models/scaling-effects-diseconomies-in-engineering.md,规模效应与反效应,通用模型与编辑扩展,伽利略发现蚂蚁不能等比放大到大象尺寸——平方立方定律决定了放大和缩小从来不是简单的等比例变化，规模改变时系统特性以不同速率变化。,相对芒格原始演讲，该稿新增了“规模效应与反效应”的跨学科定义、机制和应用路径；此增量属于可与项目内演讲交叉核对的扩展整理，不能标为芒格原创。,工程中的规模陷阱：为什么大不一定好；“超级玛丽号”的教训：规模的甜蜜点；芒格的辩证法：规模优势与劣势并存,可用于显示芒格如何借用通用知识并纳入自身体系；必须同时保留思想源流和非原创边界。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,不再成立为排除理由：直接归因限制仍成立，但材料具有明确侧栏或案例增量。,B,munger-ch-11,章节侧栏/补充解释“规模效应与反效应”（munger-ch-11）；首次标注“通用模型或编辑扩展”,是,否,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-069,content/models/self-organized-criticality.md,自组织临界性,通用模型与编辑扩展,沙堆会自发演化到临界状态，每添一粒沙都可能引发任意规模的雪崩——从地震到金融崩盘，灾难性大事件与日常小波动有完全相同的触发机制。,相对芒格原始演讲，该稿新增了“自组织临界性”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,压死骆驼的不是最后一根稻草；幂律：没有“典型”灾难这回事；金融市场：一座永恒的沙堆,主要价值在于展示后人扩展的边界和类比风险；缺少芒格直接证据，不进入人物思想主叙事。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,成立：独立内容存在，但与芒格直接思想链较弱且类比风险较高，保留D级和典藏位置。,D,munger-ch-11,完整典藏层“通用模型候选/复杂系统与决策科学/自组织临界性”及来源/主题索引；不进入主书叙事,否,否,是,是,缺少芒格直接提出或反复使用证据，且从自然科学/历史现象向商业与人生外推的类比链较长；若进入正文容易造成错误归因或过度解释。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-070,content/models/separation-of-powers.md,权力分立与制衡,通用模型与编辑扩展,权力分立与制衡基于对人性弱点的深刻不信任，通过将权力分散到相互制约的机构中，防止任何个人或集团垄断决策，是制度设计的基石。,相对芒格原始演讲，该稿新增了“权力分立与制衡”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,一个深谙人性弱点的设计；安然：当制衡机制形同虚设；伯克希尔的制衡哲学,可作为芒格体系的兼容扩展或反例材料；首次出现必须标注通用模型/编辑扩展身份。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,不再成立为排除理由：直接归因限制仍成立，但材料具有明确侧栏或案例增量。,B,munger-ch-14,章节侧栏/补充解释“权力分立与制衡”（munger-ch-14）；首次标注“通用模型或编辑扩展”,是,否,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-071,content/models/socratic-method.md,苏格拉底式追问,通用模型与编辑扩展,苏格拉底式追问通过层层深入的连续提问，暴露思维中隐含的假设与矛盾，迫使思考从表层滑行切换到深层开掘，是发现根因的核心工具。,相对芒格原始演讲，该稿新增了“苏格拉底式追问”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,雅典的牛虻：苏格拉底为什么被处死；投资分析中的追问链：一个实战演示；如何在思考和决策中践行苏格拉底式追问,可作为芒格体系的兼容扩展或反例材料；首次出现必须标注通用模型/编辑扩展身份。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,部分成立：不承担主书核心证据，但其附录、索引或资料组织价值明确。,C,munger-ch-05,模型身份附录“历史学与哲学”分组及概念索引“苏格拉底式追问”；关联munger-ch-05,否,是,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-072,content/models/stoicism.md,斯多葛主义,通用模型与编辑扩展,斯多葛主义的核心是控制的二分法：区分你能控制的和不能控制的，把全部精力集中在前者上。芒格将此内化为投资和人生的理性操作系统。,相对芒格原始演讲，该稿新增了“斯多葛主义”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,塞涅卡的预想灾难：芒格的“反过来想”；芒格失去眼睛：一堂活生生的斯多葛课；“不抱怨”哲学：斯多葛主义的日常实践,可作为芒格体系的兼容扩展或反例材料；首次出现必须标注通用模型/编辑扩展身份。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,部分成立：不承担主书核心证据，但其附录、索引或资料组织价值明确。,C,munger-ch-07,模型身份附录“历史学与哲学”分组及概念索引“斯多葛主义”；关联munger-ch-07,否,是,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-073,content/models/superposition-and-emergence.md,叠加原理与涌现,通用模型与编辑扩展,叠加原理描述独立输入的线性相加，涌现则揭示整体大于部分之和的非线性现象——芒格的lollapalooza效应正是多种心理倾向涌现出极端后果的典型。,相对芒格原始演讲，该稿新增了“叠加原理与涌现”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,叠加：简单得让人放松警惕；涌现：一加一不等于二；Lollapalooza效应：芒格的涌现理论,可作为芒格体系的兼容扩展或反例材料；首次出现必须标注通用模型/编辑扩展身份。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,不再成立为排除理由：直接归因限制仍成立，但材料具有明确侧栏或案例增量。,B,munger-ch-10,章节侧栏/补充解释“叠加原理与涌现”（munger-ch-10）；首次标注“通用模型或编辑扩展”,是,否,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-074,content/models/survivorship-bias-historical-perspective.md,生存者偏差（历史视角）,通用模型与编辑扩展,我们看到的历史由幸存者书写、关于幸存者、为幸存者服务。那些未能幸存的人、物、制度从记录中消失，系统性扭曲了我们对过去的理解。,相对芒格原始演讲，该稿新增了“生存者偏差（历史视角）”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,标志性案例：被墓地遮蔽的真相；如何纠正历史视角的生存者偏差；听见沉默,可作为芒格体系的兼容扩展或反例材料；首次出现必须标注通用模型/编辑扩展身份。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,不再成立为排除理由：直接归因限制仍成立，但材料具有明确侧栏或案例增量。,B,munger-ch-06,章节侧栏/补充解释“生存者偏差（历史视角）”（munger-ch-06）；首次标注“通用模型或编辑扩展”,是,否,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-075,content/models/thought-experiments.md,思想实验,通用模型与编辑扩展,在大脑中创造精确的假想场景并严格追踪其逻辑后果，不需要实际实验就能揭示认知盲区。爱因斯坦追赶光束的思想实验催生了相对论。,相对芒格原始演讲，该稿新增了“思想实验”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,思想实验的伟大传统：从电车难题到薛定谔的猫；芒格的思想实验术：投资中的反事实推理；如何将思想实验融入决策,可作为芒格体系的兼容扩展或反例材料；首次出现必须标注通用模型/编辑扩展身份。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,不再成立为排除理由：直接归因限制仍成立，但材料具有明确侧栏或案例增量。,B,munger-ch-06,章节侧栏/补充解释“思想实验”（munger-ch-06）；首次标注“通用模型或编辑扩展”,是,否,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-076,content/models/tight-coupling-loose-coupling.md,紧耦合与松耦合,通用模型与编辑扩展,同样的地震海啸下福岛核电站堆芯熔毁而120公里外的女川核电站安然无恙——差别不在运气而在系统的耦合度，紧耦合系统留给人类干预的时间几乎为零。,相对芒格原始演讲，该稿新增了“紧耦合与松耦合”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,雷曼倒塌：金融系统的紧耦合解剖；丰田的教训：当精益变成脆弱；伯克希尔：松耦合的杰作,可作为芒格体系的兼容扩展或反例材料；首次出现必须标注通用模型/编辑扩展身份。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,不再成立为排除理由：直接归因限制仍成立，但材料具有明确侧栏或案例增量。,B,munger-ch-11,章节侧栏/补充解释“紧耦合与松耦合”（munger-ch-11）；首次标注“通用模型或编辑扩展”,是,否,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-077,content/models/tipping-moment.md,倾覆力矩,通用模型与编辑扩展,倾覆力矩描述了系统重心越过支撑点后从可挽救变为不可挽救的精确瞬间，雷曼兄弟的倒塌揭示了企业和组织中同样存在这个不可逆转折点。,相对芒格原始演讲，该稿新增了“倾覆力矩”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,一根铅笔的物理学；雷曼兄弟：一座重心过高的塔楼；从帝国到企业：不可逆倒塌的模式,主要价值在于展示后人扩展的边界和类比风险；缺少芒格直接证据，不进入人物思想主叙事。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,成立：独立内容存在，但与芒格直接思想链较弱且类比风险较高，保留D级和典藏位置。,D,munger-ch-02,完整典藏层“通用模型候选/物理学与化学/倾覆力矩”及来源/主题索引；不进入主书叙事,否,否,是,是,缺少芒格直接提出或反复使用证据，且从自然科学/历史现象向商业与人生外推的类比链较长；若进入正文容易造成错误归因或过度解释。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-078,content/models/tragedy-of-the-commons.md,公地悲剧,通用模型与编辑扩展,当资源归集体所有而收益归个人时，每个理性个体的最优选择会导致集体灾难。制度设计的核心挑战是通过规则将个体激励与集体利益对齐。,相对芒格原始演讲，该稿新增了“公地悲剧”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,奥斯特罗姆的发现：第三条路；从牧场到华尔街：现代社会的公地悲剧；芒格的制度设计思维,可作为芒格体系的兼容扩展或反例材料；首次出现必须标注通用模型/编辑扩展身份。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,不再成立为排除理由：直接归因限制仍成立，但材料具有明确侧栏或案例增量。,B,munger-ch-08,章节侧栏/补充解释“公地悲剧”（munger-ch-08）；首次标注“通用模型或编辑扩展”,是,否,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-079,content/models/viscosity-friction.md,粘滞性与摩擦力,通用模型与编辑扩展,粘滞性与摩擦力是流体和固体中抵抗运动的隐性力量，它们在商业中对应着制度惰性、转换成本和交易摩擦，决定了变革的实际难度远超理论预期。,相对芒格原始演讲，该稿新增了“粘滞性与摩擦力”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,物理学家眼中的阻力；转换成本：商业世界最强大的摩擦力；习惯：个人层面的粘滞性,可作为芒格体系的兼容扩展或反例材料；首次出现必须标注通用模型/编辑扩展身份。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,不再成立为排除理由：直接归因限制仍成立，但材料具有明确侧栏或案例增量。,B,munger-ch-11,章节侧栏/补充解释“粘滞性与摩擦力”（munger-ch-11）；首次标注“通用模型或编辑扩展”,是,否,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-080,content/munger-archive/about.md,关于,人物档案/编辑整理,"首页。我们必回复,也必修正。 版本说明 采用 Fraunces、Newsreader 与 Courier Prime 字体排版。力求快速、耐久、宜读—— 谨以此向 《穷查理宝典》 致以微薄敬意,而那本书本身又是向富兰克林的致敬。",该稿保留“关于”的导航、版本、书目或索引增量，不应因未进主书而失去检索入口。,本站如何制作；非官方；勘误与撤稿,用于人物、版本或资料层的补充，不替代原始演讲、股东信或完整章节。,网站入口或索引页，独立思想内容有限。,部分成立：不承担主书核心证据，但其附录、索引或资料组织价值明确。,C,munger-app-sources,来源说明附录“芒格档案的版本与制作”,否,是,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-081,content/munger-archive/home.md,首页,人物档案/编辑整理,"非官方绪言集 · 世间智慧，分门别类 查理·芒格档案馆 一份完整、经过悉心核实的查理·芒格影音记录索引——每一场每日期刊年会、所有重要演讲、他唯一一次播客访谈——配有文字稿，并收录他留下的思维模型、书籍与智慧。 今日芒格 ""每天努力让自己比醒来时更聪明一点。"" ——南加州大学法学院毕业典礼演讲，2007年 [浏览影音]( [25种倾向]( [他的一生，1924至2023年]( Best thing to learn today [每日期刊2023年年会]( 每日期刊 · 2023 · 2小时30分 芒格以主持人身份",该稿保留“首页”的导航、版本、书目或索引增量，不应因未进主书而失去检索入口。,每日期刊2023年年会；分门别类的档案；从这里开始——皇冠上的明珠,用于人物、版本或资料层的补充，不替代原始演讲、股东信或完整章节。,网站入口或索引页，独立思想内容有限。,部分成立：不承担主书核心证据，但其附录、索引或资料组织价值明确。,C,munger-index-archive,典藏层导航“芒格档案总入口”,否,是,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-082,content/munger-archive/mental-models.md,思维模型,人物档案/编辑整理,"[首页]( 思维模型 普世智慧 思维格栅 芒格的核心理念:单靠一门学科的工具,你没法把事情想清楚。你需要一张由众多领域的大思想编织成的 ""思维格栅""——以及运用它的自律。下面就是他所倚重的那些模型,以及那套让其他所有人栽跟头的心理学。 这些模型 [能力圈只在你真正懂行的领域内行动——并且要清楚地知道它的边界在哪里，因为边界比圈子的大小更重要。阅读 →]( [逆向思维把难题反过来想——不要问怎样才能成功，而要问怎样会失败，然后避开它。阅读 →]( [思维模型的格栅把你的知识挂在一个由多学科重要思想搭成的框架上，让一个",该稿保留“思维模型”的导航、版本、书目或索引增量，不应因未进主书而失去检索入口。,这些模型；人类误判的25种成因,用于人物、版本或资料层的补充，不替代原始演讲、股东信或完整章节。,网站入口或索引页，独立思想内容有限。,部分成立：不承担主书核心证据，但其附录、索引或资料组织价值明确。,C,munger-index-concepts,模型身份附录与概念索引入口,否,是,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-083,content/munger-archive/quotes.md,语录,人物档案/编辑整理,"首页 · where he said it ↗ · as recalled · where he said it ↗ · 1995 · where he said it ↗ · 2003 他关于""干事的人对卖东西的人""的论点（他的原话是'沃伦和我'）。 ""我这辈子一直躲着薪酬顾问。我简直找不出词来表达我对他们的鄙夷。"" Berkshire Hathaway annual meeting, 2017 (Omaha) · 2017 · where he said it ↗ — illustrating Munger's",该稿保留“语录”的导航、版本、书目或索引增量，不应因未进主书而失去检索入口。,激励13；逆向思考3；学习29,用于人物、版本或资料层的补充，不替代原始演讲、股东信或完整章节。,网站入口或索引页，独立思想内容有限。,部分成立：不承担主书核心证据，但其附录、索引或资料组织价值明确。,C,munger-index-quotes,语录主题索引；不作关键引文唯一证据,否,是,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-084,content/munger-archive/recordings.md,影音记录,人物档案/编辑整理,"首页The last interview Munger ever gave — taped with Becky Quick on November 14, 2023, just two weeks before he died at 99. A valedictory conversation on Berkshire's secret, what he got wrong, why he revered Costco, his contempt for the modern money game, and hi",该稿保留“影音记录”的导航、版本、书目或索引增量，不应因未进主书而失去检索入口。,没有独立案例；价值主要来自目录、人物或资料组织。,用于人物、版本或资料层的补充，不替代原始演讲、股东信或完整章节。,网站入口或索引页，独立思想内容有限。,部分成立：不承担主书核心证据，但其附录、索引或资料组织价值明确。,C,munger-index-recordings,演讲与访谈年表、录音索引,否,是,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-085,content/people/比尔·盖茨.md,比尔·盖茨,人物背景资料/编辑整理,"比尔·盖茨 巴菲特在股东信中多次提及与比尔·盖茨的友谊及慈善合作。 基本信息 首次提及年份 ：多次提及 人物关系 ：微软创始人、慈善家 提及次数 ：多次 人物简介比尔 ·盖茨（Bill Gates，1955年10月28日-）是美国著名企业家、软件工程师、慈善家，微软公司的创始人之一。他曾是世界首富，后来将大部分精力投入到慈善事业中。 与巴菲特的关系 比尔·盖茨与沃伦·巴菲特是好友，两人共同发起了""捐赠誓言""（Giving Pledge），承诺将大部分财富捐赠给慈善事业。 巴菲特评价 ""比尔·盖茨是我见过的最聪明的人",该稿保留“比尔·盖茨”的导航、版本、书目或索引增量，不应因未进主书而失去检索入口。,与巴菲特的关系；巴菲特评价；相关概念,用于人物、版本或资料层的补充，不替代原始演讲、股东信或完整章节。,与双书主线关系较弱，保留在人物资料库。,部分成立：不承担主书核心证据，但其附录、索引或资料组织价值明确。,C,buffett-index-people|munger-index-people,人物索引“比尔·盖茨”及交往背景,否,是,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
