文件ID,来源文件,标题,字符数,所属人物,内容身份,分级,分级理由,对应主题,推荐用途,主版本,替代版本,是否需要事实核验,是否存在错误归因风险,芒格模型身份层级,模型身份说明,编辑可信度
DOC-373,content/models/search-costs.md,搜寻成本,5341,芒格,通用模型与编辑扩展,C,与芒格体系兼容但属于后人扩展，主书只在必要处少量使用。,商业判断|投资与资本配置|逆向与决策工具,附录模型库/延伸阅读,content/models/search-costs.md,无,是,高,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,中
DOC-374,content/models/second-order-thinking.md,二阶效应,7050,芒格,通用模型与编辑扩展,B,可从芒格原则直接推导，适合作为编者解释，不标为芒格原创。,逆向与决策工具|复杂系统与通用模型|投资与资本配置,编者解释/检查清单,content/models/second-order-thinking.md,无,是,中,2,可从芒格反复使用的原则直接推导；当前模型名称或流程含编辑归纳。,高
DOC-375,content/models/self-organized-criticality.md,自组织临界性,8237,芒格,通用模型与编辑扩展,D,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,复杂系统与通用模型|商业判断|投资与资本配置,通用模型典藏/不进入主书,content/models/self-organized-criticality.md,无,是,高,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,中
DOC-376,content/models/senescence-misinfluence-tendency.md,衰老错误影响倾向,6177,芒格,通用模型与编辑扩展,B,主题与芒格核心体系直接相关，但稿件身份是模型扩展，需与原始表达分栏。,学习、品格与人生|人类误判心理学|知识格栅与多元模型,机制解释/侧栏/图表素材,content/models/senescence-misinfluence-tendency.md,无,是,中,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,高
DOC-377,content/models/separation-of-powers.md,权力分立与制衡,8398,芒格,通用模型与编辑扩展,D,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,激励与制度|理性训练与避免愚蠢|投资与资本配置,通用模型典藏/不进入主书,content/models/separation-of-powers.md,无,是,高,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,中
DOC-378,content/models/signaling-theory.md,信号理论,6353,芒格,通用模型与编辑扩展,C,与芒格体系兼容但属于后人扩展，主书只在必要处少量使用。,商业判断|激励与制度|投资与资本配置,附录模型库/延伸阅读,content/models/signaling-theory.md,无,是,高,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,中
DOC-379,content/models/simple-pain-avoiding-psychological-denial.md,避免痛苦的心理否认,9519,芒格,通用模型与编辑扩展,B,主题与芒格核心体系直接相关，但稿件身份是模型扩展，需与原始表达分栏。,人类误判心理学|商业判断|复杂系统与通用模型,机制解释/侧栏/图表素材,content/models/simple-pain-avoiding-psychological-denial.md,无,是,中,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,高
DOC-380,content/models/simplicity-in-business.md,简单化在商业中的应用,6364,芒格,通用模型与编辑扩展,B,可从芒格原则直接推导，适合作为编者解释，不标为芒格原创。,商业判断|复杂系统与通用模型|投资与资本配置,编者解释/检查清单,content/models/simplicity-in-business.md,无,是,中,2,可从芒格反复使用的原则直接推导；当前模型名称或流程含编辑归纳。,高
DOC-381,content/models/single-point-of-failure.md,单点故障,5312,芒格,通用模型与编辑扩展,C,与芒格体系兼容但属于后人扩展，主书只在必要处少量使用。,复杂系统与通用模型|商业判断|投资与资本配置,附录模型库/延伸阅读,content/models/single-point-of-failure.md,无,是,高,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,中
DOC-382,content/models/sit-on-your-ass-investing.md,坐等投资法,8492,芒格,通用模型与编辑扩展,B,主题与芒格核心体系直接相关，但稿件身份是模型扩展，需与原始表达分栏。,投资与资本配置|商业判断|概率与数量思维,机制解释/侧栏/图表素材,content/models/sit-on-your-ass-investing.md,无,是,中,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,高
DOC-383,content/models/social-proof-tendency.md,社会认同倾向,8462,芒格,通用模型与编辑扩展,B,主题与芒格核心体系直接相关，但稿件身份是模型扩展，需与原始表达分栏。,人类误判心理学|理性训练与避免愚蠢|商业判断,机制解释/侧栏/图表素材,content/models/social-proof-tendency.md,无,是,中,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,高
DOC-384,content/models/socratic-method.md,苏格拉底式追问,6030,芒格,通用模型与编辑扩展,D,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,投资与资本配置|商业判断|理性训练与避免愚蠢,通用模型典藏/不进入主书,content/models/socratic-method.md,无,是,高,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,中
DOC-385,content/models/stoicism.md,斯多葛主义,7510,芒格,通用模型与编辑扩展,D,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,投资与资本配置|人类误判心理学|学习、品格与人生,通用模型典藏/不进入主书,content/models/stoicism.md,无,是,高,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,中
DOC-386,content/models/stress-influence-tendency.md,压力影响倾向,8000,芒格,通用模型与编辑扩展,B,主题与芒格核心体系直接相关，但稿件身份是模型扩展，需与原始表达分栏。,人类误判心理学|复杂系统与通用模型|理性训练与避免愚蠢,机制解释/侧栏/图表素材,content/models/stress-influence-tendency.md,无,是,中,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,高
DOC-387,content/models/sunk-cost-economic-perspective.md,沉没成本（经济视角）,7592,芒格,通用模型与编辑扩展,C,与芒格体系兼容但属于后人扩展，主书只在必要处少量使用。,人类误判心理学|商业判断|投资与资本配置,附录模型库/延伸阅读,content/models/sunk-cost-economic-perspective.md,无,是,高,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,中
DOC-388,content/models/sunk-cost-fallacy.md,沉没成本谬误,7571,芒格,通用模型与编辑扩展,B,可从芒格原则直接推导，适合作为编者解释，不标为芒格原创。,人类误判心理学|投资与资本配置|商业判断,编者解释/检查清单,content/models/sunk-cost-fallacy.md,无,是,中,2,可从芒格反复使用的原则直接推导；当前模型名称或流程含编辑归纳。,高
DOC-389,content/models/sunk-cost-vs-marginal-cost.md,沉没成本vs边际成本,8041,芒格,通用模型与编辑扩展,C,与芒格体系兼容但属于后人扩展，主书只在必要处少量使用。,投资与资本配置|商业判断|人类误判心理学,附录模型库/延伸阅读,content/models/sunk-cost-vs-marginal-cost.md,无,是,高,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,中
DOC-390,content/models/superposition-and-emergence.md,叠加原理与涌现,6151,芒格,通用模型与编辑扩展,D,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,复杂系统与通用模型|人类误判心理学|理性训练与避免愚蠢,通用模型典藏/不进入主书,content/models/superposition-and-emergence.md,无,是,高,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,中
DOC-391,content/models/supply-and-demand.md,供给与需求,6726,芒格,通用模型与编辑扩展,C,与芒格体系兼容但属于后人扩展，主书只在必要处少量使用。,知识格栅与多元模型|商业判断|投资与资本配置,附录模型库/延伸阅读,content/models/supply-and-demand.md,无,是,高,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,中
DOC-392,content/models/surfing-model.md,冲浪模型,7762,芒格,通用模型与编辑扩展,B,可从芒格原则直接推导，适合作为编者解释，不标为芒格原创。,知识格栅与多元模型|商业判断|复杂系统与通用模型,编者解释/检查清单,content/models/surfing-model.md,无,是,中,2,可从芒格反复使用的原则直接推导；当前模型名称或流程含编辑归纳。,高
DOC-393,content/models/survivorship-bias-historical-perspective.md,生存者偏差（历史视角）,5974,芒格,通用模型与编辑扩展,D,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,人类误判心理学|学习、品格与人生|商业判断,通用模型典藏/不进入主书,content/models/survivorship-bias-historical-perspective.md,无,是,高,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,中
DOC-394,content/models/survivorship-bias.md,幸存者偏差,7124,芒格,通用模型与编辑扩展,C,与芒格体系兼容但属于后人扩展，主书只在必要处少量使用。,人类误判心理学|概率与数量思维|商业判断,附录模型库/延伸阅读,content/models/survivorship-bias.md,无,是,高,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,中
DOC-395,content/models/switching-costs.md,转换成本,7609,芒格,通用模型与编辑扩展,C,与芒格体系兼容但属于后人扩展，主书只在必要处少量使用。,商业判断|复杂系统与通用模型|人类误判心理学,附录模型库/延伸阅读,content/models/switching-costs.md,无,是,高,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,中
DOC-396,content/models/systems-thinking.md,系统思维,8528,芒格,通用模型与编辑扩展,C,与芒格体系兼容但属于后人扩展，主书只在必要处少量使用。,复杂系统与通用模型|知识格栅与多元模型|商业判断,附录模型库/延伸阅读,content/models/systems-thinking.md,无,是,高,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,中
DOC-397,content/models/technology-help-vs-destroy.md,技术对企业的利弊,8154,芒格,通用模型与编辑扩展,B,可从芒格原则直接推导，适合作为编者解释，不标为芒格原创。,商业判断|投资与资本配置|激励与制度,编者解释/检查清单,content/models/technology-help-vs-destroy.md,无,是,中,2,可从芒格反复使用的原则直接推导；当前模型名称或流程含编辑归纳。,高
DOC-398,content/models/theory-of-constraints.md,瓶颈理论,7448,芒格,通用模型与编辑扩展,C,与芒格体系兼容但属于后人扩展，主书只在必要处少量使用。,商业判断|复杂系统与通用模型|投资与资本配置,附录模型库/延伸阅读,content/models/theory-of-constraints.md,无,是,高,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,中
DOC-399,content/models/thought-experiments.md,思想实验,6104,芒格,通用模型与编辑扩展,D,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,商业判断|复杂系统与通用模型|投资与资本配置,通用模型典藏/不进入主书,content/models/thought-experiments.md,无,是,高,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,中
DOC-400,content/models/tight-coupling-loose-coupling.md,紧耦合与松耦合,5773,芒格,通用模型与编辑扩展,D,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,复杂系统与通用模型|商业判断|投资与资本配置,通用模型典藏/不进入主书,content/models/tight-coupling-loose-coupling.md,无,是,高,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,中
DOC-401,content/models/tipping-moment.md,倾覆力矩,4142,芒格,通用模型与编辑扩展,D,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,复杂系统与通用模型|投资与资本配置|知识格栅与多元模型,通用模型典藏/不进入主书,content/models/tipping-moment.md,无,是,高,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,中
DOC-402,content/models/too-hard-pile.md,太难堆,6745,芒格,通用模型与编辑扩展,B,主题与芒格核心体系直接相关，但稿件身份是模型扩展，需与原始表达分栏。,逆向与决策工具|投资与资本配置|复杂系统与通用模型,机制解释/侧栏/图表素材,content/models/too-hard-pile.md,无,是,中,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,高
DOC-403,content/models/trade-off-analysis.md,权衡分析,6464,芒格,通用模型与编辑扩展,C,与芒格体系兼容但属于后人扩展，主书只在必要处少量使用。,投资与资本配置|复杂系统与通用模型|商业判断,附录模型库/延伸阅读,content/models/trade-off-analysis.md,无,是,高,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,中
DOC-404,content/models/tragedy-of-the-commons.md,公地悲剧,6345,芒格,通用模型与编辑扩展,D,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,激励与制度|商业判断|理性训练与避免愚蠢,通用模型典藏/不进入主书,content/models/tragedy-of-the-commons.md,无,是,高,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,中
DOC-405,content/models/transaction-costs.md,交易成本,7400,芒格,通用模型与编辑扩展,C,与芒格体系兼容但属于后人扩展，主书只在必要处少量使用。,商业判断|激励与制度|投资与资本配置,附录模型库/延伸阅读,content/models/transaction-costs.md,无,是,高,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,中
DOC-406,content/models/twaddle-tendency.md,废话倾向,6679,芒格,通用模型与编辑扩展,B,主题与芒格核心体系直接相关，但稿件身份是模型扩展，需与原始表达分栏。,人类误判心理学|复杂系统与通用模型|知识格栅与多元模型,机制解释/侧栏/图表素材,content/models/twaddle-tendency.md,无,是,中,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,高
DOC-407,content/models/two-track-analysis.md,双轨分析,8062,芒格,通用模型与编辑扩展,B,主题与芒格核心体系直接相关，但稿件身份是模型扩展，需与原始表达分栏。,人类误判心理学|理性训练与避免愚蠢|商业判断,机制解释/侧栏/图表素材,content/munger-archive/mental-models/two-track-analysis.md,无,是,中,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,高
DOC-408,content/models/use-it-or-lose-it-tendency.md,不用就忘倾向,7073,芒格,通用模型与编辑扩展,B,主题与芒格核心体系直接相关，但稿件身份是模型扩展，需与原始表达分栏。,学习、品格与人生|人类误判心理学|知识格栅与多元模型,机制解释/侧栏/图表素材,content/models/use-it-or-lose-it-tendency.md,无,是,中,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,高
DOC-409,content/models/viscosity-friction.md,粘滞性与摩擦力,6378,芒格,通用模型与编辑扩展,D,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,商业判断|复杂系统与通用模型|投资与资本配置,通用模型典藏/不进入主书,content/models/viscosity-friction.md,无,是,高,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,中
DOC-410,content/munger-archive/about.md,关于,866,芒格,人物档案/编辑整理,D,网站入口或索引页，独立思想内容有限。,商业判断|投资与资本配置,内部导航参考,content/munger-archive/about.md,无,是,中,,,高
DOC-411,content/munger-archive/architecture.md,建筑,1238,芒格,人物档案/编辑整理,B,人物、公司和生活背景有助于建立精神坐标，但不是人物原作。,学习、品格与人生|人类误判心理学|商业判断,人物导读/时间线/侧栏,content/munger-archive/architecture.md,无,是,中,,,高
DOC-412,content/munger-archive/books.md,书籍,6754,芒格,人物档案/编辑整理,B,人物、公司和生活背景有助于建立精神坐标，但不是人物原作。,复杂系统与通用模型|人类误判心理学|知识格栅与多元模型,人物导读/时间线/侧栏,content/munger-archive/books.md,无,是,中,,,高
DOC-413,content/munger-archive/companies.md,公司,1472,芒格,人物档案/编辑整理,B,人物、公司和生活背景有助于建立精神坐标，但不是人物原作。,商业判断|投资与资本配置,人物导读/时间线/侧栏,content/munger-archive/companies.md,无,是,中,,,高
DOC-414,content/munger-archive/daily-journal.md,每日期刊,4809,芒格,人物档案/编辑整理,B,人物、公司和生活背景有助于建立精神坐标，但不是人物原作。,商业判断,人物导读/时间线/侧栏,content/munger-archive/daily-journal.md,无,是,中,,,高
DOC-415,content/munger-archive/family.md,家庭,809,芒格,人物档案/编辑整理,B,人物、公司和生活背景有助于建立精神坐标，但不是人物原作。,学习、品格与人生|复杂系统与通用模型,人物导读/时间线/侧栏,content/munger-archive/family.md,无,是,中,,,高
DOC-416,content/munger-archive/home.md,首页,3546,芒格,人物档案/编辑整理,D,网站入口或索引页，独立思想内容有限。,知识格栅与多元模型|人类误判心理学|投资与资本配置,内部导航参考,content/munger-archive/home.md,无,是,中,,,高
DOC-417,content/munger-archive/investing-philosophy.md,投资哲学,1551,芒格,人物档案/编辑整理,B,人物、公司和生活背景有助于建立精神坐标，但不是人物原作。,投资与资本配置|商业判断|知识格栅与多元模型,人物导读/时间线/侧栏,content/munger-archive/investing-philosophy.md,无,是,中,,,高
DOC-418,content/munger-archive/life.md,生平,1299,芒格,人物档案/编辑整理,B,人物、公司和生活背景有助于建立精神坐标，但不是人物原作。,学习、品格与人生|投资与资本配置|概率与数量思维,人物导读/时间线/侧栏,content/munger-archive/life.md,无,是,中,,,高
DOC-419,content/munger-archive/mental-models.md,思维模型,3545,芒格,人物档案/编辑整理,D,网站入口或索引页，独立思想内容有限。,人类误判心理学|知识格栅与多元模型|学习、品格与人生,内部导航参考,content/munger-archive/mental-models.md,无,是,中,,,高
DOC-420,content/munger-archive/mental-models/authority-misinfluence.md,22 权威错误影响倾向,817,芒格,芒格思想档案摘要,B,短篇档案可作为芒格使用某模型的证据锚点，需与扩展稿分开。,人类误判心理学|理性训练与避免愚蠢|学习、品格与人生,证据锚点/侧栏,content/munger-archive/mental-models/authority-misinfluence.md,无,否,中,,,高
DOC-421,content/munger-archive/mental-models/availability-misweighing.md,18 易得性错误权衡倾向,835,芒格,芒格思想档案摘要,B,短篇档案可作为芒格使用某模型的证据锚点，需与扩展稿分开。,人类误判心理学|逆向与决策工具|概率与数量思维,证据锚点/侧栏,content/munger-archive/mental-models/availability-misweighing.md,无,否,中,,,高
DOC-422,content/munger-archive/mental-models/circle-of-competence.md,能力圈,494,芒格,芒格思想档案摘要,B,短篇档案可作为芒格使用某模型的证据锚点，需与扩展稿分开。,逆向与决策工具|投资与资本配置|知识格栅与多元模型,证据锚点/侧栏,content/munger-archive/mental-models/circle-of-competence.md,content/models/circle-of-competence.md,否,中,,,高
DOC-423,content/munger-archive/mental-models/contrast-misreaction.md,16 对比错误反应倾向,829,芒格,芒格思想档案摘要,B,短篇档案可作为芒格使用某模型的证据锚点，需与扩展稿分开。,人类误判心理学|复杂系统与通用模型,证据锚点/侧栏,content/munger-archive/mental-models/contrast-misreaction.md,无,否,中,,,高
DOC-424,content/munger-archive/mental-models/curiosity.md,06 好奇心倾向,797,芒格,芒格思想档案摘要,B,短篇档案可作为芒格使用某模型的证据锚点，需与扩展稿分开。,人类误判心理学|学习、品格与人生|复杂系统与通用模型,证据锚点/侧栏,content/munger-archive/mental-models/curiosity.md,无,否,中,,,高
DOC-425,content/munger-archive/mental-models/deprival-superreaction.md,14 被剥夺超级反应倾向,874,芒格,芒格思想档案摘要,B,短篇档案可作为芒格使用某模型的证据锚点，需与扩展稿分开。,人类误判心理学|理性训练与避免愚蠢|激励与制度,证据锚点/侧栏,content/munger-archive/mental-models/deprival-superreaction.md,无,否,中,,,高
DOC-426,content/munger-archive/mental-models/disliking-hating.md,03 厌恶/憎恨倾向,780,芒格,芒格思想档案摘要,B,短篇档案可作为芒格使用某模型的证据锚点，需与扩展稿分开。,人类误判心理学,证据锚点/侧栏,content/munger-archive/mental-models/disliking-hating.md,无,否,中,,,高
DOC-427,content/munger-archive/mental-models/doubt-avoidance.md,04 避免怀疑倾向,764,芒格,芒格思想档案摘要,B,短篇档案可作为芒格使用某模型的证据锚点，需与扩展稿分开。,人类误判心理学|学习、品格与人生|复杂系统与通用模型,证据锚点/侧栏,content/munger-archive/mental-models/doubt-avoidance.md,无,否,中,,,高
DOC-428,content/munger-archive/mental-models/drug-misinfluence.md,20 药物错误影响倾向,795,芒格,芒格思想档案摘要,B,短篇档案可作为芒格使用某模型的证据锚点，需与扩展稿分开。,人类误判心理学,证据锚点/侧栏,content/munger-archive/mental-models/drug-misinfluence.md,无,否,中,,,高
DOC-429,content/munger-archive/mental-models/envy-jealousy.md,08 嫉妒/妒忌倾向,826,芒格,芒格思想档案摘要,B,短篇档案可作为芒格使用某模型的证据锚点，需与扩展稿分开。,人类误判心理学|理性训练与避免愚蠢|学习、品格与人生,证据锚点/侧栏,content/munger-archive/mental-models/envy-jealousy.md,无,否,中,,,高
DOC-430,content/munger-archive/mental-models/excessive-self-regard.md,12 过度自我评价倾向,896,芒格,芒格思想档案摘要,B,短篇档案可作为芒格使用某模型的证据锚点，需与扩展稿分开。,人类误判心理学|理性训练与避免愚蠢|概率与数量思维,证据锚点/侧栏,content/munger-archive/mental-models/excessive-self-regard.md,无,否,中,,,高
DOC-431,content/munger-archive/mental-models/incentive-superresponse.md,01 奖惩超级反应倾向,700,芒格,芒格思想档案摘要,B,短篇档案可作为芒格使用某模型的证据锚点，需与扩展稿分开。,激励与制度|人类误判心理学|理性训练与避免愚蠢,证据锚点/侧栏,content/munger-archive/mental-models/incentive-superresponse.md,无,否,中,,,高
DOC-432,content/munger-archive/mental-models/inconsistency-avoidance.md,05 避免不一致倾向,813,芒格,芒格思想档案摘要,B,短篇档案可作为芒格使用某模型的证据锚点，需与扩展稿分开。,人类误判心理学,证据锚点/侧栏,content/munger-archive/mental-models/inconsistency-avoidance.md,无,否,中,,,高
DOC-433,content/munger-archive/mental-models/inversion.md,逆向思维,1020,芒格,芒格思想档案摘要,B,短篇档案可作为芒格使用某模型的证据锚点，需与扩展稿分开。,逆向与决策工具|人类误判心理学|理性训练与避免愚蠢,证据锚点/侧栏,content/munger-archive/mental-models/inversion.md,content/models/inversion.md,否,中,,,高
DOC-434,content/munger-archive/mental-models/kantian-fairness.md,07 康德式公平倾向,791,芒格,芒格思想档案摘要,B,短篇档案可作为芒格使用某模型的证据锚点，需与扩展稿分开。,激励与制度|人类误判心理学|学习、品格与人生,证据锚点/侧栏,content/munger-archive/mental-models/kantian-fairness.md,无,否,中,,,高
DOC-435,content/munger-archive/mental-models/latticework-of-mental-models.md,思维格栅,1384,芒格,芒格思想档案摘要,B,短篇档案可作为芒格使用某模型的证据锚点，需与扩展稿分开。,知识格栅与多元模型|人类误判心理学|复杂系统与通用模型,证据锚点/侧栏,content/munger-archive/mental-models/latticework-of-mental-models.md,无,否,中,,,高
DOC-436,content/munger-archive/mental-models/liking-loving.md,02 喜爱/热爱倾向,778,芒格,芒格思想档案摘要,B,短篇档案可作为芒格使用某模型的证据锚点，需与扩展稿分开。,人类误判心理学|学习、品格与人生|激励与制度,证据锚点/侧栏,content/munger-archive/mental-models/liking-loving.md,无,否,中,,,高
DOC-437,content/munger-archive/mental-models/lollapalooza.md,25 叠加效应倾向,851,芒格,芒格思想档案摘要,B,短篇档案可作为芒格使用某模型的证据锚点，需与扩展稿分开。,人类误判心理学|激励与制度,证据锚点/侧栏,content/munger-archive/mental-models/lollapalooza.md,无,否,中,,,高
DOC-438,content/munger-archive/mental-models/man-with-a-hammer.md,手里拿着锤子的人,670,芒格,芒格思想档案摘要,B,短篇档案可作为芒格使用某模型的证据锚点，需与扩展稿分开。,知识格栅与多元模型|人类误判心理学|激励与制度,证据锚点/侧栏,content/munger-archive/mental-models/man-with-a-hammer.md,无,否,中,,,高
DOC-439,content/munger-archive/mental-models/margin-of-safety.md,安全边际,980,芒格,芒格思想档案摘要,B,短篇档案可作为芒格使用某模型的证据锚点，需与扩展稿分开。,人类误判心理学|投资与资本配置|复杂系统与通用模型,证据锚点/侧栏,content/munger-archive/mental-models/margin-of-safety.md,content/models/margin-of-safety.md,否,中,,,高
DOC-440,content/munger-archive/mental-models/mere-association.md,10 单纯联想影响倾向,848,芒格,芒格思想档案摘要,B,短篇档案可作为芒格使用某模型的证据锚点，需与扩展稿分开。,人类误判心理学,证据锚点/侧栏,content/munger-archive/mental-models/mere-association.md,无,否,中,,,高
DOC-441,content/munger-archive/mental-models/moats-and-durable-advantage.md,护城河,651,芒格,芒格思想档案摘要,B,短篇档案可作为芒格使用某模型的证据锚点，需与扩展稿分开。,商业判断|知识格栅与多元模型|投资与资本配置,证据锚点/侧栏,content/munger-archive/mental-models/moats-and-durable-advantage.md,无,否,中,,,高
DOC-442,content/munger-archive/mental-models/opportunity-cost.md,机会成本,975,芒格,芒格思想档案摘要,B,短篇档案可作为芒格使用某模型的证据锚点，需与扩展稿分开。,逆向与决策工具|人类误判心理学|理性训练与避免愚蠢,证据锚点/侧栏,content/munger-archive/mental-models/opportunity-cost.md,content/models/opportunity-cost.md,否,中,,,高
DOC-443,content/munger-archive/mental-models/overoptimism.md,13 过度乐观倾向,802,芒格,芒格思想档案摘要,B,短篇档案可作为芒格使用某模型的证据锚点，需与扩展稿分开。,概率与数量思维|人类误判心理学,证据锚点/侧栏,content/munger-archive/mental-models/overoptimism.md,无,否,中,,,高
DOC-444,content/munger-archive/mental-models/psychological-denial.md,11 心理否认倾向,837,芒格,芒格思想档案摘要,B,短篇档案可作为芒格使用某模型的证据锚点，需与扩展稿分开。,人类误判心理学|商业判断|投资与资本配置,证据锚点/侧栏,content/munger-archive/mental-models/psychological-denial.md,无,否,中,,,高
DOC-445,content/munger-archive/mental-models/psychology-of-human-misjudgment.md,人类误判心理学 - 概览,3609,芒格,芒格思想档案摘要,B,短篇档案可作为芒格使用某模型的证据锚点，需与扩展稿分开。,人类误判心理学|激励与制度|理性训练与避免愚蠢,证据锚点/侧栏,content/munger-archive/mental-models/psychology-of-human-misjudgment.md,无,否,中,,,高
DOC-446,content/munger-archive/mental-models/reason-respecting.md,24 重视理由倾向,824,芒格,芒格思想档案摘要,B,短篇档案可作为芒格使用某模型的证据锚点，需与扩展稿分开。,人类误判心理学|学习、品格与人生,证据锚点/侧栏,content/munger-archive/mental-models/reason-respecting.md,无,否,中,,,高
DOC-447,content/munger-archive/mental-models/reciprocation.md,09 互惠倾向,844,芒格,芒格思想档案摘要,B,短篇档案可作为芒格使用某模型的证据锚点，需与扩展稿分开。,人类误判心理学|学习、品格与人生,证据锚点/侧栏,content/munger-archive/mental-models/reciprocation.md,无,否,中,,,高
DOC-448,content/munger-archive/mental-models/senescence-misinfluence.md,21 衰老错误影响倾向,791,芒格,芒格思想档案摘要,B,短篇档案可作为芒格使用某模型的证据锚点，需与扩展稿分开。,人类误判心理学|学习、品格与人生|知识格栅与多元模型,证据锚点/侧栏,content/munger-archive/mental-models/senescence-misinfluence.md,无,否,中,,,高
DOC-449,content/munger-archive/mental-models/sit-on-your-ass-investing.md,坐等不动投资,988,芒格,芒格思想档案摘要,B,短篇档案可作为芒格使用某模型的证据锚点，需与扩展稿分开。,人类误判心理学|商业判断|投资与资本配置,证据锚点/侧栏,content/munger-archive/mental-models/sit-on-your-ass-investing.md,无,否,中,,,高
DOC-450,content/munger-archive/mental-models/social-proof.md,15 社会认同倾向,866,芒格,芒格思想档案摘要,B,短篇档案可作为芒格使用某模型的证据锚点，需与扩展稿分开。,人类误判心理学|理性训练与避免愚蠢|商业判断,证据锚点/侧栏,content/munger-archive/mental-models/social-proof.md,无,否,中,,,高
DOC-451,content/munger-archive/mental-models/stress-influence.md,17 压力影响倾向,838,芒格,芒格思想档案摘要,B,短篇档案可作为芒格使用某模型的证据锚点，需与扩展稿分开。,人类误判心理学|投资与资本配置,证据锚点/侧栏,content/munger-archive/mental-models/stress-influence.md,无,否,中,,,高
DOC-452,content/munger-archive/mental-models/twaddle.md,23 废话倾向,809,芒格,芒格思想档案摘要,B,短篇档案可作为芒格使用某模型的证据锚点，需与扩展稿分开。,人类误判心理学|商业判断|学习、品格与人生,证据锚点/侧栏,content/munger-archive/mental-models/twaddle.md,无,否,中,,,高
DOC-453,content/munger-archive/mental-models/two-track-analysis.md,双轨分析,1015,芒格,芒格思想档案摘要,B,短篇档案可作为芒格使用某模型的证据锚点，需与扩展稿分开。,人类误判心理学|理性训练与避免愚蠢|激励与制度,证据锚点/侧栏,content/munger-archive/mental-models/two-track-analysis.md,content/models/two-track-analysis.md,否,中,,,高
DOC-454,content/munger-archive/mental-models/use-it-or-lose-it.md,19 用进废退倾向,788,芒格,芒格思想档案摘要,B,短篇档案可作为芒格使用某模型的证据锚点，需与扩展稿分开。,人类误判心理学|知识格栅与多元模型|学习、品格与人生,证据锚点/侧栏,content/munger-archive/mental-models/use-it-or-lose-it.md,无,否,中,,,高
DOC-455,content/munger-archive/philanthropy.md,慈善,999,芒格,人物档案/编辑整理,B,人物、公司和生活背景有助于建立精神坐标，但不是人物原作。,学习、品格与人生|投资与资本配置,人物导读/时间线/侧栏,content/munger-archive/philanthropy.md,无,是,中,,,高
