模型编号,来源文件,模型名称,学科,身份层级,身份定义,芒格直接证据,主书建议,分级,需要事实核验,错误归因风险,编辑备注
MM-192,content/models/sample-size-statistical-significance.md,样本量与统计显著性,数学与统计学,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-193,content/models/scale-effects-management-perspective.md,规模效应管理视角,管理学与商业,2,可从芒格反复使用的原则直接推导；当前模型名称或流程含编辑归纳。,poor-charlies-almanack/poor-charlies-almanack-talk-nine.md,可用，但必须标为模型解释或编辑扩展,B,是,中,不得将模型正文中的编辑叙事写成人物原话。
MM-194,content/models/scaling-effects-diseconomies-in-engineering.md,规模效应与反效应,工程学,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,poor-charlies-almanack/poor-charlies-almanack-talk-nine.md,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-195,content/models/seamless-web-of-deserved-trust.md,值得信赖的无缝网络,管理学与商业,2,可从芒格反复使用的原则直接推导；当前模型名称或流程含编辑归纳。,content/qa/Wesco_股东大会_1996.md；content/munger-archive/recordings/daily-journal-2020.md,可用，但必须标为模型解释或编辑扩展,B,是,中,不得将模型正文中的编辑叙事写成人物原话。
MM-196,content/models/search-costs.md,搜寻成本,微观经济学,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-197,content/models/second-order-thinking.md,二阶效应,元认知与思维方法论,2,可从芒格反复使用的原则直接推导；当前模型名称或流程含编辑归纳。,content/qa/Wesco_股东大会_1996.md；content/munger-archive/recordings/daily-journal-2020.md,可用，但必须标为模型解释或编辑扩展,B,是,中,不得将模型正文中的编辑叙事写成人物原话。
MM-198,content/models/self-organized-criticality.md,自组织临界性,复杂系统与决策科学,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-199,content/models/senescence-misinfluence-tendency.md,衰老错误影响倾向,心理学,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,poor-charlies-almanack/poor-charlies-almanack-talk-eleven.md,可用，但必须标为模型解释或编辑扩展,B,是,中,“明确使用”不代表芒格是该学科概念的原创者。
MM-200,content/models/separation-of-powers.md,权力分立与制衡,法学与政治学,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-201,content/models/signaling-theory.md,信号理论,生物学与进化论,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-202,content/models/simple-pain-avoiding-psychological-denial.md,避免痛苦的心理否认,心理学,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,content/qa/Wesco_股东大会_1996.md；content/munger-archive/recordings/daily-journal-2020.md,可用，但必须标为模型解释或编辑扩展,B,是,中,“明确使用”不代表芒格是该学科概念的原创者。
MM-203,content/models/simplicity-in-business.md,简单化在商业中的应用,管理学与商业,2,可从芒格反复使用的原则直接推导；当前模型名称或流程含编辑归纳。,content/qa/Wesco_股东大会_1996.md；content/munger-archive/recordings/daily-journal-2020.md,可用，但必须标为模型解释或编辑扩展,B,是,中,不得将模型正文中的编辑叙事写成人物原话。
MM-204,content/models/single-point-of-failure.md,单点故障,工程学,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-205,content/models/sit-on-your-ass-investing.md,坐等投资法,投资学与金融学,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,content/qa/Wesco_股东大会_1996.md；content/munger-archive/recordings/daily-journal-2020.md,可用，但必须标为模型解释或编辑扩展,B,是,中,“明确使用”不代表芒格是该学科概念的原创者。
MM-206,content/models/social-proof-tendency.md,社会认同倾向,心理学,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,poor-charlies-almanack/poor-charlies-almanack-talk-eleven.md,可用，但必须标为模型解释或编辑扩展,B,是,中,“明确使用”不代表芒格是该学科概念的原创者。
MM-207,content/models/socratic-method.md,苏格拉底式追问,历史学与哲学,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-208,content/models/stoicism.md,斯多葛主义,历史学与哲学,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-209,content/models/stress-influence-tendency.md,压力影响倾向,心理学,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,poor-charlies-almanack/poor-charlies-almanack-talk-eleven.md,可用，但必须标为模型解释或编辑扩展,B,是,中,“明确使用”不代表芒格是该学科概念的原创者。
MM-210,content/models/sunk-cost-economic-perspective.md,沉没成本（经济视角）,微观经济学,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,poor-charlies-almanack/poor-charlies-almanack-talk-nine.md,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-211,content/models/sunk-cost-fallacy.md,沉没成本谬误,心理学,2,可从芒格反复使用的原则直接推导；当前模型名称或流程含编辑归纳。,content/qa/Wesco_股东大会_1996.md；content/munger-archive/recordings/daily-journal-2020.md,可用，但必须标为模型解释或编辑扩展,B,是,中,不得将模型正文中的编辑叙事写成人物原话。
MM-212,content/models/sunk-cost-vs-marginal-cost.md,沉没成本vs边际成本,会计学,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-213,content/models/superposition-and-emergence.md,叠加原理与涌现,物理学与化学,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-214,content/models/supply-and-demand.md,供给与需求,微观经济学,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-215,content/models/surfing-model.md,冲浪模型,微观经济学,2,可从芒格反复使用的原则直接推导；当前模型名称或流程含编辑归纳。,poor-charlies-almanack/poor-charlies-almanack-talk-nine.md,可用，但必须标为模型解释或编辑扩展,B,是,中,不得将模型正文中的编辑叙事写成人物原话。
MM-216,content/models/survivorship-bias-historical-perspective.md,生存者偏差（历史视角）,历史学与哲学,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-217,content/models/survivorship-bias.md,幸存者偏差,心理学,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-218,content/models/switching-costs.md,转换成本,管理学与商业,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-219,content/models/systems-thinking.md,系统思维,工程学,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-220,content/models/technology-help-vs-destroy.md,技术对企业的利弊,管理学与商业,2,可从芒格反复使用的原则直接推导；当前模型名称或流程含编辑归纳。,poor-charlies-almanack/poor-charlies-almanack-talk-nine.md,可用，但必须标为模型解释或编辑扩展,B,是,中,不得将模型正文中的编辑叙事写成人物原话。
MM-221,content/models/theory-of-constraints.md,瓶颈理论,管理学与商业,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-222,content/models/thought-experiments.md,思想实验,元认知与思维方法论,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-223,content/models/tight-coupling-loose-coupling.md,紧耦合与松耦合,工程学,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-224,content/models/tipping-moment.md,倾覆力矩,物理学与化学,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-225,content/models/too-hard-pile.md,太难堆,投资学与金融学,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,content/qa/Wesco_股东大会_1996.md；content/munger-archive/recordings/daily-journal-2020.md,可用，但必须标为模型解释或编辑扩展,B,是,中,“明确使用”不代表芒格是该学科概念的原创者。
MM-226,content/models/trade-off-analysis.md,权衡分析,工程学,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-227,content/models/tragedy-of-the-commons.md,公地悲剧,法学与政治学,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-228,content/models/transaction-costs.md,交易成本,微观经济学,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-229,content/models/twaddle-tendency.md,废话倾向,心理学,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,poor-charlies-almanack/poor-charlies-almanack-talk-eleven.md,可用，但必须标为模型解释或编辑扩展,B,是,中,“明确使用”不代表芒格是该学科概念的原创者。
MM-230,content/models/two-track-analysis.md,双轨分析,元认知与思维方法论,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,poor-charlies-almanack/poor-charlies-almanack-talk-eleven.md,可用，但必须标为模型解释或编辑扩展,B,是,中,“明确使用”不代表芒格是该学科概念的原创者。
MM-231,content/models/use-it-or-lose-it-tendency.md,不用就忘倾向,心理学,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,poor-charlies-almanack/poor-charlies-almanack-talk-eleven.md,可用，但必须标为模型解释或编辑扩展,B,是,中,“明确使用”不代表芒格是该学科概念的原创者。
MM-232,content/models/viscosity-friction.md,粘滞性与摩擦力,物理学与化学,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
